"filename", "language", "XML", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/ProfileIcon/profileIcon.js", "JavaScript", 0, 0, 0, 8, 0, 2, 10
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/SearchIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/SearchIcon/searchIcon.js", "JavaScript", 0, 0, 0, 7, 0, 2, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/SettingsIcon/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/SettingsIcon/settingsIcon.js", "JavaScript", 0, 0, 0, 7, 0, 2, 9
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Share/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/icons/Share/shareIcon.js", "JavaScript", 0, 0, 0, 17, 4, 5, 26
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/index.css", "CSS", 0, 0, 12, 0, 0, 2, 14
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/index.js", "JavaScript", 0, 0, 0, 20, 3, 4, 27
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/logo.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/create.jsx", "JavaScript JSX", 0, 137, 0, 0, 10, 33, 180
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/create.module.css", "CSS", 0, 0, 60, 0, 30, 10, 100
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/createCommunity.jsx", "JavaScript JSX", 0, 418, 0, 0, 21, 115, 554
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/createCommunity.module.css", "CSS", 0, 0, 63, 0, 1, 13, 77
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/createCredential.jsx", "JavaScript JSX", 0, 145, 0, 0, 8, 54, 207
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/createCredential.module.css", "CSS", 0, 0, 111, 0, 1, 25, 137
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/create/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/dashboard/communityCode.jsx", "JavaScript JSX", 0, 42, 0, 0, 19, 21, 82
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/dashboard/communityCode.module.css", "CSS", 0, 0, 151, 0, 15, 29, 195
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/dashboard/dashboard.jsx", "JavaScript JSX", 0, 313, 0, 0, 72, 204, 589
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/dashboard/dashboard.module.css", "CSS", 0, 0, 153, 0, 3, 30, 186
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/dashboard/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/explore/explore.jsx", "JavaScript JSX", 0, 16, 0, 0, 2, 5, 23
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/explore/explore.module.css", "CSS", 0, 0, 3, 0, 0, 0, 3
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/explore/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/login/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/login/login.jsx", "JavaScript JSX", 0, 117, 0, 0, 1, 16, 134
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/login/login.module.css", "CSS", 0, 0, 117, 0, 1, 20, 138
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/createChallenge.jsx", "JavaScript JSX", 0, 344, 0, 0, 38, 150, 532
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/createChallenge.module.css", "CSS", 0, 0, 146, 0, 2, 31, 179
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/manageCommunity.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 21, 86
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/manageCommunity.module.css", "CSS", 0, 0, 142, 0, 1, 28, 171
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/mygroups.jsx", "JavaScript JSX", 0, 330, 0, 0, 70, 80, 480
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/mygroups.module.css", "CSS", 0, 0, 56, 0, 10, 15, 81
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/rewardsLadder.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 21, 86
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/mygroups/rewardsLadder.module.css", "CSS", 0, 0, 142, 0, 1, 28, 171
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/profile/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/profile/profile.jsx", "JavaScript JSX", 0, 160, 0, 0, 1, 63, 224
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/profile/profile.module.css", "CSS", 0, 0, 58, 0, 0, 13, 71
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/profile/transferFunds.jsx", "JavaScript JSX", 0, 66, 0, 0, 20, 35, 121
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/profile/transferFunds.module.css", "CSS", 0, 0, 71, 0, 15, 18, 104
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/settings/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/settings/settings.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 4, 16
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/settings/settings.module.css", "CSS", 0, 0, 3, 0, 0, 0, 3
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/VerifyPhrase.jsx", "JavaScript JSX", 0, 182, 0, 0, 0, 15, 197
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/register.jsx", "JavaScript JSX", 0, 95, 0, 0, 15, 12, 122
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/signIn.jsx", "JavaScript JSX", 0, 148, 0, 0, 3, 21, 172
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/signIn.module.css", "CSS", 0, 0, 117, 0, 1, 20, 138
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/signInStep2.jsx", "JavaScript JSX", 0, 154, 0, 0, 61, 41, 256
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/signInStep2.module.css", "CSS", 0, 0, 126, 0, 4, 22, 152
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/signInStep3.jsx", "JavaScript JSX", 0, 50, 0, 0, 49, 15, 114
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/signIn/signInStep3.module.css", "CSS", 0, 0, 117, 0, 1, 20, 138
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/staging/Staging.jsx", "JavaScript JSX", 0, 62, 0, 0, 1, 9, 72
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/pages/staging/index.js", "JavaScript", 0, 0, 0, 1, 0, 1, 2
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 2, 14
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 4, 1, 6
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/utils/ math.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/utils/Wallet.js", "JavaScript", 0, 0, 0, 12, 0, 5, 17
"/Users/aniket/Documents/Soulmynt/soulmynt-mvp/frontend/src/utils/axios.js", "JavaScript", 0, 0, 0, 125, 11, 27, 163
"Total", "-", 1, 3797, 2167, 462, 857, 1658, 8942
